SubjectId,SessionId
CC00068XX11,20701
CC00069XX12,26300
CC00099AN18,34200
CC00117XX10,38200
CC00126XX11,43100
CC00132XX09,44400
CC00138XX15,46200
CC00162XX06,53600
CC00164XX08,54000
CC00168XX12,55700
CC00170XX06,56100
CC00171XX07,56300
CC00172BN08,57300
CC00176XX12,57600
CC00195XX15,65800
CC00200XX02,67204
CC00201XX03,67600
CC00205XX07,70000
CC00206XX08,70100
CC00217XX11,73700
CC00223XX09,75900
CC00250XX03,83700
CC00268XX13,87800
CC00303XX06,96900
CC00313XX08,100000
CC00334XX13,106100
CC00338BN17,107600
CC00342XX13,108300
CC00347XX18,109600
CC00357XX11,113900
CC00363XX09,114900
CC00367XX13,116000
CC00413XX09,127100
CC00415XX11,127400
CC00418BN14,125300
CC00421AN09,126000
CC00421BN09,126100
CC00422XX10,127800
